ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
88.709045,28.753805,7332.36,206.49,4.19,0.369,0.036,0.204,11.07,29.47
89.4641,29.313202,5653.26,134.11,3.929,0.494,-0.277,0.181,60.26,20.11
89.365395,29.326677,6120.97,248.86,4.123,0.562,0.116,0.219,17.01,21.55
89.5686,29.300816,5683.38,439.03,4.145,0.686,-0.271,0.481,21.13,21.49
89.2708,29.5075,4588.48,96.28,1.954,0.506,-0.393,0.153,-33.62,12.85
89.16057,29.397078,6682.22,319.04,4.736,0.363,-0.091,0.326,5.58,29.39
89.89352,28.917389,7800.27,402.16,3.975,0.44,0.519,0.347,-32.12,38.45
89.71722,28.968836,5901.34,127.2,3.834,0.485,-1.124,0.22,129.7,18.49
89.810455,28.84606,6183.64,351.6,4.601,0.504,0.04,0.336,18.76,23.74
89.94415,27.32544,4681.74,159.28,2.274,0.524,-0.247,0.229,10.11,12.6
89.91632,27.19184,4443.05,115.33,2.699,0.344,0.218,0.147,-44.97,10.05
89.7389,27.05849,5381.53,185.99,4.599,0.357,0.14,0.243,-23.26,12.36
89.97575,28.314451,4786.05,101.26,2.507,0.549,-0.156,0.151,-53.3,14.42
90.027084,28.387089,5005.06,144.6,3.171,0.554,-0.164,0.2,-12.12,14.1
89.87533,28.057087,5287.16,262.6,3.542,0.675,-0.424,0.377,30.19,24.94
89.9626,28.401373,4795.78,86.01,4.253,0.246,0.348,0.117,-57.26,8.58
89.85321,28.256767,6305.57,246.32,4.114,0.536,-0.03,0.231,56.74,27.03
89.92638,28.747227,5992.19,207.56,4.383,0.538,-0.113,0.216,-15.56,23.34
89.92835,27.983961,5006.54,121.19,4.761,0.261,-0.017,0.18,13.3,9.63
89.96322,28.036922,7045.03,245.96,4.163,0.361,-0.122,0.264,22.56,30.39
89.714485,28.35096,4429.14,62.82,2.17,0.335,0.016,0.091,9.96,8.3
89.81587,28.198593,6154.81,265.77,4.149,0.567,0.087,0.232,36.42,21.24
